operation_name,input_dim_0,input_dim_1,input_dim_2,size,computation_mean
relu,1,36,1,36,0.8531427999999999
relu,1,61,1,61,0.8417142999999999
relu,139,4969,1,690691,9.703133900000001
relu,4,2,1,8,0.8589998
relu,4534894,1,1,4534894,43.4940089
relu,600519,5,1,3002595,46.1319462
relu,301,1,1,301,0.86958
relu,26,1,1,26,0.8415537000000001
relu,3,391758,1,1175274,30.1731518
relu,7,38,3,798,0.9151252
relu,29,12,54,18792,1.5448392
relu,3,3,4,36,0.9352855
relu,9,36,2,648,1.0196876
relu,11,86,14,13244,1.1784374
relu,1999,5,1,9995,1.0693928
relu,4,16,44,2816,0.9802588999999999
relu,1,9,1,9,0.8595715
relu,2372,1,1,2372,0.9218837000000001
relu,74,13,20,19240,1.4342856000000002
relu,591,1,1,591,0.8658569999999999
relu,3,3,196,1764,0.939125
relu,14,12,2,336,1.0095536000000003
relu,836,1,1,836,0.8504196
relu,3457269,1,1,3457269,34.596142699999994
relu,3,5,2,30,0.9004377
relu,222,1,1,222,0.8481517999999999
relu,682313,1,1,682313,9.436857199999999
relu,18507,45,1,832815,10.1627501
relu,512,16,1,8192,0.9559016999999999
relu,70,1,1,70,0.8404197
relu,2,7094,64,908032,10.365
relu,28,6,2,336,0.9248396000000001
relu,89,493,61,2676497,28.1369912
relu,6,22,3,396,0.9518307
relu,1,31,1,31,0.8417232
relu,345116,1,1,345116,5.193124999999999
relu,49,1,1,49,0.8542677999999999
relu,1,3317,1,3317,1.1457141
relu,2,30605,1,61210,3.279696499999999
relu,132,1,1,132,0.8405892999999999
relu,197244,1,1,197244,3.3657408
relu,16,2,3,96,0.9012857000000001
relu,556,1,1,556,0.8560267999999999
relu,318609,1,1,318609,4.862411
relu,36714,1,1,36714,1.3759909
relu,2,448,7,6272,1.1927143999999998
relu,4651,1,1,4651,0.9658481999999999
relu,132977,1,1,132977,2.5652765000000004
relu,73,3442,1,251266,4.2655981999999995
relu,6,9,5,270,0.9648573
relu,96566,1,1,96566,2.1209909999999996
relu,19386,1,1,19386,1.1825627000000003
relu,2,105,1,210,0.8430176999999999
relu,1,222,1,222,0.8804017999999999
relu,14,4,5,280,0.9568660000000001
relu,54,3,5,810,0.9345623999999999
relu,555,5,3,8325,1.2087233000000002
relu,5117,1,1,5117,0.9667146000000001
relu,2,52,1,104,0.8461248999999998
relu,35,138913,1,4861955,52.58271420000001
relu,55,821,1,45155,1.6141067999999996
relu,1783899,1,1,1783899,19.4248751
relu,14537631,1,1,14537631,131.16800919999997
relu,3,3,3,27,0.9488657999999999
relu,516640,1,1,516640,7.3634017
