operation_name,input_dim_0,input_dim_1,input_dim_2,size,computation_mean
mul,1,1246654,1,1246654,126.22542849999998
mul,9,5,3,135,0.9634196999999999
mul,2,2,69,276,0.8822768
mul,58444,1,1,58444,1.9920000000000002
mul,3,3,8,72,0.9122676000000001
mul,29,25,1,725,0.9915268000000002
mul,2257,1,1,2257,0.9911517
mul,4,5,16,320,0.9976873000000002
mul,9,137,21,25893,1.9297055
mul,11405,2,1,22810,2.1571074
mul,3,14,8,336,0.9702856000000001
mul,1,13,1,13,0.8715980999999999
mul,1,1526942,1,1526942,154.17857139999998
mul,9,4195,1,37755,2.1115626999999995
mul,295583,1,1,295583,6.1659912
mul,8,61259,1,490072,9.6712768
mul,511,22376,1,11434136,142.4075803
mul,424,1,1,424,0.8930178
mul,1,3464431,1,3464431,348.8155893
mul,1,331,1,331,0.9313124
mul,4,4,3,48,0.9145625
mul,2,4,1,8,0.8607319999999999
mul,1,808455,1,808455,82.43169639999999
mul,74,137,1,10138,1.2454284000000002
mul,1,17,1,17,0.8595358000000001
mul,3,2,7,42,0.9308482999999999
mul,169,1,1,169,0.8626877000000001
mul,1,36,1,36,0.8595715
mul,1,61,1,61,0.8599820000000001
mul,139,4969,1,690691,13.665562399999999
mul,4,2,1,8,0.8608392
mul,4534894,1,1,4534894,57.6833036
mul,600519,5,1,3002595,60.900705099999996
mul,301,1,1,301,0.8821247
mul,26,1,1,26,0.8592946999999999
mul,3,391758,1,1175274,40.589276600000005
mul,7,38,3,798,0.9648570999999999
mul,29,12,54,18792,1.8704197999999999
mul,3,3,4,36,0.9324375
mul,9,36,2,648,1.021964
mul,11,86,14,13244,1.3526786999999998
mul,1999,5,1,9995,1.2341251000000004
mul,4,16,44,2816,1.0470175999999998
mul,1,9,1,9,0.8658661000000001
mul,2372,1,1,2372,0.9687677999999998
mul,74,13,20,19240,1.7034644
mul,591,1,1,591,0.9202770000000001
mul,3,3,196,1764,1.0202677999999996
mul,14,12,2,336,1.0437233
mul,836,1,1,836,0.947991
mul,3457269,1,1,3457269,44.2518573
mul,3,5,2,30,0.9143217
mul,222,1,1,222,0.8672679000000001
mul,682313,1,1,682313,13.0621783
mul,18507,45,1,832815,16.6224109
mul,512,16,1,8192,1.0522766000000001
mul,70,1,1,70,0.8775622999999999
mul,2,7094,64,908032,17.1041159
mul,28,6,2,336,0.9580268000000001
mul,89,493,61,2676497,38.11254459999999
mul,6,22,3,396,0.9922587999999999
mul,1,31,1,31,0.8436157999999999
mul,345116,1,1,345116,7.0584198
mul,49,1,1,49,0.8755627
mul,1,3317,1,3317,1.2586964000000003
mul,2,30605,1,61210,4.289740999999999
mul,132,1,1,132,0.8611517
mul,197244,1,1,197244,4.403705500000001
mul,16,2,3,96,0.9155892999999999
mul,556,1,1,556,0.9206875999999999
mul,318609,1,1,318609,6.5735624999999995
mul,36714,1,1,36714,1.5361607
mul,2,448,7,6272,1.2981161
mul,4651,1,1,4651,1.0062768
mul,132977,1,1,132977,3.3008660999999995
mul,73,3442,1,251266,5.8305538
mul,6,9,5,270,1.0238392
mul,96566,1,1,96566,2.6748391000000002
mul,19386,1,1,19386,1.3229733
mul,2,105,1,210,0.8614284
mul,1,222,1,222,0.8984641000000002
mul,14,4,5,280,0.9795446
mul,54,3,5,810,0.9735622999999999
mul,555,5,3,8325,1.3714460000000002
mul,5117,1,1,5117,0.9766788
mul,2,52,1,104,0.8605804000000001
mul,35,138913,1,4861955,70.73456239999999
mul,55,821,1,45155,1.8843124
mul,1783899,1,1,1783899,32.3847052
mul,14537631,1,1,14537631,179.2271338
mul,3,3,3,27,0.9844109
mul,516640,1,1,516640,10.1077588
mul,14,25,10,3500,1.2771519
mul,225912,1,1,225912,4.8992854999999995
mul,2607,1,1,2607,0.9511517999999999
mul,2557367,1,1,2557367,33.2804285
mul,8,2,579,9264,1.4437143000000001
mul,87,1,1,87,0.8642588
mul,11,2633,1,28963,1.7104553999999996
mul,2,49,1,98,0.8607143
mul,28,30,1,840,1.0128392
mul,21,2,2,84,0.8778659000000001
mul,1140,1,1,1140,0.9805625999999998
mul,529238,2,1,1058476,54.3337411
mul,149,107,1,15943,1.2854461999999998
mul,314,1,1,314,0.9310091
mul,4553047,1,1,4553047,57.70801780000001
mul,170393,6,1,1022358,24.885982300000002
mul,1109763,2,1,2219526,112.4926161
mul,716292,1,1,716292,13.6004019
mul,4240,2698,1,11439520,150.8499998
mul,276666,1,1,276666,5.8321606
mul,5,507836,1,2539180,51.7619822
mul,1804,1,1,1804,0.9648482999999999
mul,3,17,12,612,0.9924109
mul,5,4,3,60,0.9448664000000001
mul,73,2,13,1898,1.1015535
mul,15325,1,1,15325,1.2082677
mul,773653,1,1,773653,14.5401786
mul,1,230743,1,230743,25.968
mul,3,3,2,18,0.9226874
mul,3,719,12,25884,1.5445714
mul,98355,1,1,98355,2.7315802
mul,6,1,1,6,0.8593036
mul,2007363,1,1,2007363,36.2875357
mul,119,1,1,119,0.8592768
mul,1,141686,1,141686,16.4248392
mul,831,42,95,3315690,46.59642839999999
mul,2,24,1,48,0.8608484000000001
mul,1215,1,1,1215,0.9607501
mul,8828647,1,1,8828647,109.74875010000001
mul,5,4,4,80,0.9778661999999999
mul,3,12,6,216,0.9624461
mul,2924806,1,1,2924806,37.702285599999996
