kernel_name,batch_size,seq_len,hidden_dim,dim_product,avg_duration_us,min_duration_us,max_duration_us,stddev_duration_us
"layer_norm_(10,512,3584)",10,512,3584,18350080,256.8064465,256.461429,257.307143,0.2298835822581388
"layer_norm_(10,512,4096)",10,512,4096,20971520,292.02360689999995,291.874375,292.595803,0.20823311040885026
"layer_norm_(10,640,512)",10,640,512,3276800,63.490839300000005,63.322857,63.761339,0.14769537971412572
"layer_norm_(10,640,1024)",10,640,1024,6553600,105.87016059999999,105.704286,106.112858,0.13545181067261203
"layer_norm_(10,640,1536)",10,640,1536,9830400,151.91044630000002,151.764286,152.34991,0.17359484673677944
"layer_norm_(10,640,2048)",10,640,2048,13107200,196.9497143,196.809911,197.177143,0.11538054941227531
"layer_norm_(10,640,2560)",10,640,2560,16384000,239.26646450000004,239.087232,239.447143,0.11106168603003148
"layer_norm_(10,640,3072)",10,640,3072,19660800,280.73098229999994,280.481339,281.115625,0.17527257375493727
"layer_norm_(10,640,3584)",10,640,3584,22937600,335.9975626,335.757143,336.615714,0.2475231386513731
"layer_norm_(10,640,4096)",10,640,4096,26214400,361.3376876,361.132768,361.642857,0.1809858374190288
"layer_norm_(10,768,512)",10,768,512,3932160,73.2490268,73.17,73.425803,0.08416063974830895
"layer_norm_(10,768,1024)",10,768,1024,7864320,124.9892411,124.755625,125.405714,0.182908044009036
"layer_norm_(10,768,1536)",10,768,1536,11796480,184.16415190000004,180.494286,214.991429,10.832295462203227
"layer_norm_(10,768,2048)",10,768,2048,15728640,237.1031609,233.478571,267.872947,10.812432334883878
"layer_norm_(10,768,2560)",10,768,2560,19660800,278.6673037,277.987054,283.352947,1.649943177158258
"layer_norm_(10,768,3072)",10,768,3072,23592960,333.4771247,333.237142,333.918571,0.205167308150115
"layer_norm_(10,768,3584)",10,768,3584,27525120,375.93300910000005,375.695804,376.404286,0.20307199511746962
"layer_norm_(10,768,4096)",10,768,4096,31457280,429.02100899999994,428.722947,429.378661,0.20961666562403172
"layer_norm_(10,896,512)",10,896,512,4587520,85.123857,84.941518,85.268572,0.08085187242798539
"layer_norm_(10,896,1024)",10,896,1024,9175040,142.9585626,142.778482,143.332768,0.1698077294643041
"layer_norm_(10,896,1536)",10,896,1536,13762560,209.1275357,208.834285,209.598572,0.23490206735670924
"layer_norm_(10,896,2048)",10,896,2048,18350080,265.6466965,259.170089,321.925714,19.774990211759015
"layer_norm_(10,896,2560)",10,896,2560,22937600,326.78200879999997,326.517232,327.228482,0.21873270703141093
"layer_norm_(10,896,3072)",10,896,3072,27525120,386.1092768,385.797143,386.544286,0.2334269947550982
"layer_norm_(10,896,3584)",10,896,3584,32112640,449.6791784999999,449.470089,450.12866,0.17127937370031104
"layer_norm_(10,896,4096)",10,896,4096,36700160,502.631125,502.325804,502.839911,0.2024047740466778
"layer_norm_(10,1024,512)",10,1024,512,5242880,100.7801521,94.79,153.682858,18.588411518479464
"layer_norm_(10,1024,1024)",10,1024,1024,10485760,162.30000890000002,162.045625,162.640089,0.1561687329023389
"layer_norm_(10,1024,1536)",10,1024,1536,15728640,230.4172678,230.148482,230.611428,0.14368370978321454
"layer_norm_(10,1024,2048)",10,1024,2048,20971520,298.89425,298.655625,299.508571,0.2355257160896841
"layer_norm_(10,1024,2560)",10,1024,2560,26214400,371.46803570000003,371.32,372.102857,0.22871492909249433
"layer_norm_(10,1024,3072)",10,1024,3072,31457280,442.5938573,442.392857,443.105804,0.2157987775297615
"layer_norm_(10,1024,3584)",10,1024,3584,36700160,497.10028550000004,496.955625,497.677142,0.21395534887564885
"layer_norm_(10,1024,4096)",10,1024,4096,41943040,565.8867142000001,565.577143,566.448482,0.2586774182670221
"layer_norm_(12,128,512)",12,128,512,786432,19.812285600000003,19.617143,20.001339,0.1529898660537871
"layer_norm_(12,128,1024)",12,128,1024,1572864,30.029580400000004,29.874375,30.16,0.11419842506522435
"layer_norm_(12,128,1536)",12,128,1536,2359296,42.1426073,42.070089,42.207232,0.04318063197790218
"layer_norm_(12,128,2048)",12,128,2048,3145728,54.53883020000001,54.368572,54.715714,0.11673171589380091
"layer_norm_(12,128,2560)",12,128,2560,3932160,64.4865623,64.392857,64.582768,0.06106593297239206
"layer_norm_(12,128,3072)",12,128,3072,4718592,75.9295713,75.794375,76.154286,0.11898546320085564
"layer_norm_(12,128,3584)",12,128,3584,5505024,87.2714733,87.075715,88.095803,0.31068273299158905
"layer_norm_(12,128,4096)",12,128,4096,6291456,98.93416099999999,98.66,99.581429,0.2489709143980926
"layer_norm_(12,256,512)",12,256,512,1572864,33.436286100000004,33.182858,33.598483,0.11387439742048118
"layer_norm_(12,256,1024)",12,256,1024,3145728,55.571714199999995,55.46,55.701429,0.08066903179425278
"layer_norm_(12,256,1536)",12,256,1536,4718592,76.3732679,76.237143,76.662857,0.12745663490724207
"layer_norm_(12,256,2048)",12,256,2048,6291456,97.03971440000001,96.778661,97.605625,0.23286342119324407
"layer_norm_(12,256,2560)",12,256,2560,7864320,122.51171430000002,117.258571,168.02,15.99060386312397
"layer_norm_(12,256,3072)",12,256,3072,9437184,138.4129909,138.154285,139.117142,0.27576686817811613
"layer_norm_(12,256,3584)",12,256,3584,11010048,160.0258483,159.74,160.600089,0.25299043521403786
"layer_norm_(12,256,4096)",12,256,4096,12582912,181.6831608,181.448661,182.337054,0.2514431708574426
"layer_norm_(12,384,512)",12,384,512,2359296,47.4708482,47.417143,47.57,0.054849022547352834
"layer_norm_(12,384,1024)",12,384,1024,4718592,78.9871517,78.904197,79.121428,0.07087405044012185
"layer_norm_(12,384,1536)",12,384,1536,7077888,108.592598,108.477232,108.680089,0.06859271192901914
"layer_norm_(12,384,2048)",12,384,2048,9437184,140.6419733,140.439911,141.128482,0.22345063318229128
"layer_norm_(12,384,2560)",12,384,2560,11796480,173.2236966,172.944197,173.825625,0.2553638099266739
"layer_norm_(12,384,3072)",12,384,3072,14155776,205.6660003,205.365715,206.052768,0.2106585286524396
"layer_norm_(12,384,3584)",12,384,3584,16515072,237.7364106,237.457232,238.357143,0.2572457536767349
"layer_norm_(12,384,4096)",12,384,4096,18874368,263.9508749,263.828571,264.474196,0.1901033309816571
