shape_idx ,dim_0 ,dim_1  ,size     ,actual_latency       ,predicted_latency    ,absolute_error         ,relative_error_pct
       37 , 2124 ,  7628 ,16201872 ,143.13443750000002   ,142.12896732025484   , 1.0054701797451742    ,  0.7024655961953069
       38 , 8192 ,  2048 ,16777216 ,147.9546967          ,147.2312546065636    , 0.7234420934364039    ,  0.4889618981837998
       39 , 3019 ,  3413 ,10303847 , 93.64884810000002   ,95.28786912953089    , 1.6390210295308663    ,  1.7501774584356748
       40 , 2453 ,  4667 ,11448151 ,104.3010268          ,102.96431195680263   , 1.3367148431973703    ,  1.2815931771798916
       41 , 2042 ,  6402 ,13072884 ,120.9435355          ,117.82400214174852   , 3.1195333582514735    ,  2.5793303836826182
       42 , 1191 ,  8042 , 9578022 , 88.53829449999999   ,87.37823591127353    , 1.1600585887264572    ,  1.3102337189547482
       43 , 3019 ,  3733 ,11269927 ,103.6673034          ,102.6982207190947    , 0.9690826809052879    ,  0.9348007029430342
       44 , 2706 ,   615 , 1664190 , 18.971160699999995  ,18.972886353180183   , 0.0017256531801876918 ,  0.00909619188554811
       45 , 2238 ,  6441 ,14414958 ,130.24357149999997   ,129.8506457793466    , 0.3929257206533805    ,  0.3016853086322042
       46 , 3427 ,   500 , 1713500 , 19.0644198          ,19.126337532450915   , 0.06191773245091525   ,  0.32478162514505293
       47 , 1566 ,  1847 , 2892402 , 30.1495538          ,30.196580311866857   , 0.047026511866857135  ,  0.15597747210062238
       48 , 1024 ,    32 ,   32768 ,  1.2842855999999998 ,3.7645428998563117   , 2.480257299856312     ,193.12349993306103
       49 , 2067 ,  3343 , 6909981 , 66.2192767          ,65.9680765349615     , 0.2512001650384974    ,  0.3793459813469956
       50 , 2503 ,  5493 ,13748979 ,124.28712520000002   ,123.53743434393604   , 0.7496908560639781    ,  0.603192691807452
       51 , 1024 ,  2048 , 2097152 , 22.417839300000004  ,21.29263821707143    , 1.125201082928573     ,  5.019221825399439
       52 ,  753 , 11494 , 8654982 , 80.31785719999998   ,80.68677592327445    , 0.3689187232744757    ,  0.45932341341705496
       53 ,  370 ,  5853 , 2165610 , 22.5944463          ,21.912764671470164   , 0.6816816285298373    ,  3.0170317939140525
       54 ,  531 ,     1 ,     531 ,  0.9329912          ,1.1483506389826157   , 0.21535943898261567   , 23.082687058850677
       55 , 3803 ,  3907 ,14858321 ,133.39616070000002   ,132.36855552199597   , 1.0276051780040518    ,  0.7703408948291055
       56 ,  270 ,   280 ,   75600 ,  2.2190091          ,2.8818339948916853   , 0.6628248948916853    , 29.87030990056261
       57 ,  383 , 18941 , 7254403 , 68.23926800000001   ,66.49316743919296    , 1.7461005608070508    ,  2.558791458324334
       58 , 1523 ,  5206 , 7928738 , 73.5851428          ,72.52572533089824    , 1.05941746910176      ,  1.4397165362323112
       59 ,  156 , 97299 ,15178644 ,138.1814197          ,138.3345395036788    , 0.1531198036788055    ,  0.1108107037916079
