kernel_name,dim_m,dim_n,dim_k,fusion_avg,fusion_min,fusion_max,fusion_stddev,sample_count,scale_sim_cycles
matmul_2048x2048x2048,2048,2048,2048,30.23975,29.7,30.587344,0.2501306068863498,10,622080
matmul_2048x2048x2560,2048,2048,2560,37.0606094,36.816172,37.230078,0.1296046912698587,10,777600
matmul_2048x2048x3072,2048,2048,3072,38.630164,38.426172,38.956172,0.1515972621916378,10,933120
matmul_2048x2048x3584,2048,2048,3584,45.4485234,45.183594,45.715078,0.1589810156215025,10,1088640
matmul_2048x2048x4096,2048,2048,4096,53.4559062,52.72875,54.191328,0.5141295245575117,10,1244160
matmul_2048x2560x1024,2048,2560,1024,22.714914,22.436094,23.286328,0.2328164345573569,10,376576
matmul_2048x2560x1536,2048,2560,1536,24.6827812,24.516328,24.86625,0.1275284923604655,10,564864
matmul_2048x2560x2048,2048,2560,2048,31.7552812,31.395078,32.086328,0.2054332840979982,10,753152
matmul_2048x2560x2560,2048,2560,2560,40.2195468,40.083672,40.431406,0.1096473227324779,10,941440
matmul_2048x2560x3072,2048,2560,3072,46.0031952,45.774922,46.337578,0.1506867354132782,10,1129728
matmul_2048x2560x3584,2048,2560,3584,53.547875,53.2925,54.00375,0.2331450400001395,10,1318016
matmul_2048x2560x4096,2048,2560,4096,60.3217578,59.988594,60.615156,0.2176527427020698,10,1506304
matmul_2048x3072x1024,2048,3072,1024,23.2649062,23.071172,23.39375,0.1005227410354935,10,442112
matmul_2048x3072x1536,2048,3072,1536,39.9385704,39.643828,40.561094,0.2761257077585404,10,663168
matmul_2048x3072x2048,2048,3072,2048,38.6371484,38.436094,39.096328,0.1974612205343956,10,884224
matmul_2048x3072x2560,2048,3072,2560,46.3026484,45.977422,46.605078,0.166963351669494,10,1105280
matmul_2048x3072x3072,2048,3072,3072,56.5687812,56.282422,56.802578,0.1368136583961307,10,1326336
matmul_2048x3072x3584,2048,3072,3584,66.53963279999999,66.09375,67.09625,0.2906408066175294,10,1547392
matmul_2048x3072x4096,2048,3072,4096,73.8246952,73.488828,74.115078,0.1887394703657817,10,1768448
matmul_2048x3584x1024,2048,3584,1024,28.4664844,28.112578,28.9175,0.2268993648055355,10,507648
matmul_2048x3584x1536,2048,3584,1536,33.0683984,32.800078,33.239922,0.1254919081970367,10,761472
matmul_2048x3584x2048,2048,3584,2048,44.0308204,43.701172,44.323594,0.1981364278040091,10,1015296
matmul_2048x3584x2560,2048,3584,2560,54.8127812,54.502578,55.038594,0.207499511631447,10,1269120
matmul_2048x3584x3072,2048,3584,3072,65.4769062,65.2225,65.781172,0.1598990481396177,10,1522944
matmul_2048x3584x3584,2048,3584,3584,75.5865156,75.41875,75.838828,0.1378351147576931,10,1776768
matmul_2048x3584x4096,2048,3584,4096,84.4868906,84.318594,84.721406,0.1326184937632937,10,2030592
matmul_2048x4096x1024,2048,4096,1024,29.012836,28.76875,29.195,0.1455937086430747,10,573184
matmul_2048x4096x1536,2048,4096,1536,51.7832734,51.48375,51.969922,0.15703931990018,10,859776
matmul_2048x4096x2048,2048,4096,2048,49.0111484,48.727422,49.361328,0.168733826670687,10,1146368
matmul_2048x4096x2560,2048,4096,2560,60.6411484,60.37,60.8675,0.1705386086512715,10,1432960
matmul_2048x4096x3072,2048,4096,3072,73.2117968,72.783672,73.571328,0.2150497100862445,10,1719552
matmul_2048x4096x3584,2048,4096,3584,84.9505312,84.571328,85.213672,0.1838582707297499,10,2006144
matmul_2048x4096x4096,2048,4096,4096,96.413914,96.008828,96.892422,0.2548616339131661,10,2292736
matmul_2560x1024x1024,2560,1024,1024,11.445211,11.2,11.752344,0.1536210459084305,10,188288
matmul_2560x1024x1536,2560,1024,1536,15.3195468,15.165078,15.460078,0.0772322161749154,10,282432
matmul_2560x1024x2048,2560,1024,2048,19.0731718,18.865078,19.278828,0.1343515632872698,10,376576
matmul_2560x1024x2560,2560,1024,2560,23.2258126,23.08125,23.421094,0.1033245435274485,10,470720
matmul_2560x1024x3072,2560,1024,3072,27.052836,26.9625,27.48625,0.1599537764703009,10,564864
matmul_2560x1024x3584,2560,1024,3584,30.1441562,29.86375,30.439922,0.1894157985583863,10,659008
matmul_2560x1024x4096,2560,1024,4096,31.6915312,31.36125,31.885078,0.1431898709459269,10,753152
matmul_2560x1536x1024,2560,1536,1024,15.8089922,15.676172,15.949922,0.080884942504496,10,282432
matmul_2560x1536x1536,2560,1536,1536,21.5035,21.335,21.660156,0.0904709904493637,10,423648
matmul_2560x1536x2048,2560,1536,2048,27.3444688,27.047422,27.542344,0.1509095731598523,10,564864
matmul_2560x1536x2560,2560,1536,2560,30.497179600000003,30.17125,30.71875,0.1445786080036279,10,706080
matmul_2560x1536x3072,2560,1536,3072,38.9087734,38.708828,39.253594,0.2026653319474686,10,847296
