LayerID, Total Cycles, Stall Cycles, Overall Util %, Mapping Efficiency %, Compute Util %,
101, 1913, 0, 33.4553058024046, 83.33333333333334, 27.886710239651414,
102, 1913, 0, 40.14636696288552, 100.0, 33.464052287581694,
103, 2551, 0, 35.123480987847906, 87.5, 29.28104575163399,
104, 2551, 0, 40.14112112896903, 100.0, 33.464052287581694,
105, 1275, 0, 30.11764705882353, 75.0, 25.098039215686274,
106, 2551, 0, 22.57938063504508, 56.25, 18.823529411764707,
107, 2551, 0, 30.105840846726775, 75.0, 25.098039215686274,
108, 3827, 0, 25.084922916122288, 62.5, 20.915032679738562,
109, 3827, 0, 30.101907499346748, 75.0, 25.09803921568628,
110, 5103, 0, 26.337448559670783, 65.625, 21.960784313725494,
111, 5103, 0, 30.09994121105232, 75.0, 25.098039215686274,
112, 1275, 0, 40.15686274509804, 100.0, 33.464052287581694,
113, 2551, 0, 30.105840846726775, 75.0, 25.098039215686274,
114, 2551, 0, 40.14112112896903, 100.0, 33.464052287581694,
115, 3827, 0, 33.446563888163055, 83.33333333333334, 27.886710239651414,
116, 3827, 0, 40.135876665795664, 100.0, 33.464052287581694,
117, 5103, 0, 35.116598079561044, 87.5, 29.281045751633982,
118, 5103, 0, 40.13325494806976, 100.0, 33.4640522875817,
119, 1913, 0, 33.4553058024046, 83.33333333333334, 27.886710239651414,
120, 3827, 0, 25.084922916122288, 62.5, 20.915032679738562,
121, 3827, 0, 33.446563888163055, 83.33333333333334, 27.886710239651418,
122, 5741, 0, 27.869709109911167, 69.44444444444444, 23.238925199709513,
123, 5741, 0, 33.4436509318934, 83.33333333333334, 27.886710239651414,
124, 7655, 0, 29.261920313520577, 72.91666666666666, 24.400871459694983,
125, 7655, 0, 33.442194644023516, 83.33333333333334, 27.886710239651414,
126, 1913, 0, 40.14636696288552, 100.0, 33.464052287581694,
127, 3827, 0, 30.101907499346748, 75.0, 25.098039215686274,
128, 3827, 0, 40.135876665795664, 100.0, 33.464052287581694,
129, 5741, 0, 33.4436509318934, 83.33333333333334, 27.886710239651414,
130, 5741, 0, 40.13238111827208, 100.0, 33.4640522875817,
131, 7655, 0, 35.11430437622469, 87.5, 29.28104575163399,
132, 7655, 0, 40.130633572828216, 100.0, 33.46405228758171,
133, 2551, 0, 35.123480987847906, 87.5, 29.28104575163399,
134, 5103, 0, 26.337448559670783, 65.625, 21.96078431372549,
135, 5103, 0, 35.116598079561044, 87.5, 29.281045751633982,
136, 7655, 0, 29.261920313520577, 72.91666666666666, 24.400871459694986,
137, 7655, 0, 35.11430437622469, 87.5, 29.28104575163399,
138, 10207, 0, 30.724012932301363, 76.5625, 25.620915032679736,
139, 10207, 0, 35.113157636915844, 87.5, 29.281045751634,
140, 2551, 0, 40.14112112896903, 100.0, 33.464052287581694,
141, 5103, 0, 30.09994121105232, 75.0, 25.098039215686274,
142, 5103, 0, 40.13325494806976, 100.0, 33.4640522875817,
143, 7655, 0, 33.442194644023516, 83.33333333333334, 27.886710239651418,
