shape_idx,dim_0,dim_1,dim_2,size,actual_latency,predicted_latency,absolute_error,relative_error_pct
49,3,315,1,945,0.9424285,0.9100992950624216,0.032329204937578404,3.4304146083844453
50,1,72321,1,72321,6.611285799999999,5.572429287541393,1.0388565124586062,15.713380783789537
51,5,1,1,5,0.8362765999999999,0.8417212319358555,0.005444631935855537,0.6510563533471507
52,2035,1,1,2035,0.9028479,0.9215807838501069,0.018732883850106852,2.074865971345434
53,10,3,58,1740,0.9882946,1.00318979285724,0.014895192857239947,1.507161210558061
54,12,7,8,672,1.0124377,0.9748743455911334,0.0375633544088666,3.710189220419844
55,10,1,1,10,0.8533753,0.8462975318809209,0.007077768119079009,0.82938516255146
56,69,15,13,13455,1.227143,1.3084487552277586,0.08130575522775851,6.625613740840188
57,1,79,1,79,0.8409642999999999,0.8413287359162964,0.00036443591629653493,0.043335480031261135
58,2,191194,1,382388,14.947009,15.143703713677121,0.19669471367712177,1.3159469809452966
59,388,1,1,388,0.861018,0.8553490498355051,0.005668950164494868,0.6584008887729256
60,1571,1,1,1571,0.9044464,0.9049923664010388,0.0005459664010387666,0.060364704977405696
61,780,1,1,780,0.8540268000000001,0.8552517652912384,0.001224965291238278,0.1434340574837087
62,1,4,1,4,0.8372498,0.8477376197175132,0.010487819717513114,1.2526512060693373
63,2,3,3,18,0.9044287,0.897242344835823,0.007186355164176983,0.7945739851219873
64,686171,1,1,686171,9.3780444,8.773069964589638,0.6049744354103623,6.450965783552511
65,4,5337,1,21348,1.3532944,1.4171709427711987,0.0638765427711987,4.720077373496757
66,3,77,2,462,0.9211608,0.9279712322763397,0.006810432276339706,0.7393315343357757
67,486705,1,1,486705,6.9174734,6.804107601164131,0.11336579883586939,1.6388324505283876
68,462,1,1,462,0.8487231999999999,0.8579629538818959,0.009239753881896018,1.0886651716243905
69,5,4,959,19180,1.3599910000000002,1.3959061592962219,0.03591515929622169,2.6408380126207955
70,5,2,959,9590,1.2704282999999998,1.3845907325169342,0.11416243251693436,8.98613739295121
71,1,46086,1,46086,4.55475,4.6701106093842295,0.1153606093842292,2.5327539246770776
72,1,1123,1,1123,0.9833839,0.980025938319183,0.0033579616808169233,0.3414700688934325
73,122630,1,1,122630,2.3972859,2.452308224946646,0.05502232494664616,2.295192448537163
74,340,2,3,2040,0.9879909999999998,1.0153518312955243,0.027360831295524468,2.7693401352365026
75,5,9,959,43155,1.8135714,1.603819412635631,0.20975198736436895,11.565686763938213
76,8881,6,1,53286,1.8114465,1.7881024215828256,0.02334407841717434,1.2886981987695656
77,3,2,13,78,0.9121428,0.9063147440009862,0.005828055999013815,0.6389411832241415
78,752846,1,1,752846,8.782848300000001,8.83666283123037,0.053814531230369056,0.61272299591431
79,5461,6,32,1048512,11.8293037,12.437528836095703,0.6082251360957027,5.141681636728142
80,1,464330,1,464330,35.17470530000001,40.12168284903747,4.946977549037463,14.064019888284502
81,118,32,1,3776,0.9474375000000002,1.0140129456655211,0.06657544566552098,7.026895775765786
82,338220,1,1,338220,5.0854464,4.966009561057681,0.11943683894231949,2.3486008807863845
83,14,4,959,53704,2.121875,2.238442072437286,0.11656707243728581,5.493588097191672
84,5,12,41,2460,1.0375805,1.0486342858230593,0.01105378582305927,1.065342479263948
85,775,1,1,775,0.9035713,0.8552517652912384,0.0483195347087616,5.347617250432988
86,2,3,14,84,0.9109914,0.9028929265958757,0.008098473404124285,0.8889736395013481
87,26376,1,1,26376,1.2380357,1.236979773542192,0.001055926457808054,0.08529046923348446
88,23,2,1,46,0.8494462,0.8490981795103053,0.00034802048969473365,0.040970280365576255
89,2050,10,2,41000,2.6157055,1.9296672394225627,0.6860382605774371,26.22765676707248
90,1,300,1,300,0.9274463,0.8961492570510264,0.03129704294897351,3.3745396309170146
91,479,1,1,479,0.8514283999999999,0.8579756496321062,0.006547249632106289,0.768972427053912
92,2,166,1,332,0.8771519,0.8838914971584335,0.00673959715843353,0.7683500609681778
93,66406,1,1,66406,1.8048574,1.8497031433617814,0.04484574336178149,2.484725018263575
94,340,32,3,32640,1.434991,1.904302141351018,0.46931114135101804,32.704814270683094
95,27,11,9,2673,1.1344468,1.130482928190518,0.0039638718094821,0.34941010979819415
96,2050,10,6,123000,3.0663125,2.9723389476120587,0.09397355238794125,3.0647089097390188
97,2,6269,1,12538,1.3874554,1.3554568175248396,0.0319985824751603,2.306278275695226
98,333,1,1,333,0.8774376,0.850462196198043,0.026975403801957065,3.0743387110327918
99,122483,1,1,122483,2.4302769,2.452308224946646,0.02203132494664617,0.9065355864035973
