kernel_name        ,total_cycles ,main_avg  ,main_min ,main_max   ,main_stddev ,fusion_avg ,fusion_min ,fusion_max ,fusion_stddev ,copy-start_avg ,copy-start_min ,copy-start_max ,copy-start_stddev ,copy-done_avg ,copy-done_min ,copy-done_max ,copy-done_stddev
matmul_128x80x80   ,       461.0 , 1.366442 ,1.324285 ,  1.71     ,   0.088083 ,  1.254781 ,  1.211518 ,  1.35134  ,     0.040487 ,      0.008571 ,      0.008571 ,      0.008572 ,         0.0      ,     0.075504 ,     0.054375 ,     0.461339 ,        0.088519
matmul_128x80x96   ,       461.0 , 1.32487  ,1.25     ,  1.792946 ,   0.138544 ,  1.175844 ,  1.13134  ,  1.355803 ,     0.078048 ,      0.008571 ,      0.008571 ,      0.008572 ,         0.0      ,     0.080429 ,     0.054375 ,     0.558482 ,        0.109675
matmul_128x80x112  ,       461.0 , 1.328277 ,1.27     ,  1.682857 ,   0.10974  ,  1.184995 ,  1.120089 ,  1.351428 ,     0.071478 ,      0.008571 ,      0.008571 ,      0.008572 ,         0.0      ,     0.075938 ,     0.054375 ,     0.47     ,        0.090406
matmul_128x80x128  ,       461.0 , 1.356433 ,1.310089 ,  1.701428 ,   0.097007 ,  1.218719 ,  1.135714 ,  1.392768 ,     0.058711 ,      0.008571 ,      0.008571 ,      0.008572 ,         0.0      ,     0.076138 ,     0.054375 ,     0.472946 ,        0.091036
matmul_128x96x32   ,       477.0 , 1.337563 ,1.307143 ,  1.677143 ,   0.088128 ,  1.22663  ,  1.192768 ,  1.407143 ,     0.041875 ,      0.008571 ,      0.008571 ,      0.008572 ,         0.0      ,     0.074996 ,     0.054375 ,     0.448572 ,        0.085706
matmul_128x96x48   ,       477.0 , 1.366259 ,1.322857 ,  1.695625 ,   0.09427  ,  1.254665 ,  1.208482 ,  1.445804 ,     0.057277 ,      0.008571 ,      0.008571 ,      0.008572 ,         0.0      ,     0.074996 ,     0.054375 ,     0.451428 ,        0.086362
matmul_128x96x64   ,       477.0 , 1.407375 ,1.324196 ,  1.767054 ,   0.115779 ,  1.29613  ,  1.232857 ,  1.457233 ,     0.081364 ,      0.008572 ,      0.008571 ,      0.008572 ,         0.0      ,     0.075411 ,     0.054375 ,     0.454375 ,        0.086942
matmul_128x96x80   ,       477.0 , 1.402304 ,1.351429 ,  1.738571 ,   0.106898 ,  1.290567 ,  1.24     ,  1.522857 ,     0.07499  ,      0.008571 ,      0.008571 ,      0.008572 ,         0.0      ,     0.075772 ,     0.054375 ,     0.462768 ,        0.088784
matmul_128x96x96   ,       477.0 , 1.463643 ,1.385803 ,  1.79     ,   0.110727 ,  1.35129  ,  1.28009  ,  1.531428 ,     0.083059 ,      0.008571 ,      0.008571 ,      0.008572 ,         0.0      ,     0.075942 ,     0.054375 ,     0.472768 ,        0.09104
matmul_128x96x112  ,       477.0 , 1.360518 ,1.281428 ,  1.981518 ,   0.161813 ,  1.219013 ,  1.167143 ,  1.397232 ,     0.081022 ,      0.008571 ,      0.008571 ,      0.008572 ,         0.0      ,     0.079554 ,     0.054375 ,     0.541339 ,        0.105942
matmul_128x96x128  ,       477.0 , 1.352272 ,1.300089 ,  1.87     ,   0.127595 ,  1.209496 ,  1.184196 ,  1.374375 ,     0.05139  ,      0.008571 ,      0.008571 ,      0.008572 ,         0.0      ,     0.08279  ,     0.054375 ,     0.607054 ,        0.120276
matmul_128x112x32  ,       493.0 , 1.404228 ,1.342767 ,  2.035804 ,   0.156213 ,  1.28362  ,  1.250089 ,  1.462857 ,     0.060564 ,      0.008571 ,      0.008571 ,      0.008572 ,         0.0      ,     0.084982 ,     0.054375 ,     0.645625 ,        0.128621
matmul_128x112x48  ,       493.0 , 1.386728 ,1.342857 ,  1.878661 ,   0.121428 ,  1.270353 ,  1.251429 ,  1.444375 ,     0.044704 ,      0.008572 ,      0.008571 ,      0.008572 ,         0.0      ,     0.080348 ,     0.054375 ,     0.555625 ,        0.109037
matmul_128x112x64  ,       493.0 , 1.381839 ,1.344285 ,  1.72     ,   0.092817 ,  1.270714 ,  1.234285 ,  1.477143 ,     0.05164  ,      0.008571 ,      0.008571 ,      0.008572 ,         0.0      ,     0.074946 ,     0.054375 ,     0.449911 ,        0.086025
matmul_128x112x80  ,       493.0 , 1.401625 ,1.371429 ,  1.761428 ,   0.087054 ,  1.289719 ,  1.262768 ,  1.411429 ,     0.028361 ,      0.008571 ,      0.008571 ,      0.008572 ,         0.0      ,     0.075451 ,     0.054375 ,     0.464286 ,        0.089207
