Operation_Type,Operation,Input_Shapes,Predicted_Latency_us,Kernel_Name,Actual_Duration_us,Error_Percentage
matmul,linear,"[(2816, 2176), (2176, 2432)]",1032954,matmul_linear_115,243.5857144,423961.8143573693
matmul,linear,"[(2944, 2176), (2176, 2432)]",1074298,matmul_linear_116,362.1687054,296529.1631446961
matmul,linear,"[(3072, 2176), (2176, 2432)]",1115642,matmul_linear_117,375.2252946,297225.90421157604
matmul,linear,"[(2048, 2176), (2176, 2560)]",800224,matmul_linear_118,217.5678393,367704.3605041216
matmul,linear,"[(2176, 2176), (2176, 2560)]",850238,matmul_linear_119,225.8223125,376407.5251366049
matmul,linear,"[(2304, 2176), (2176, 2560)]",900252,matmul_linear_120,254.68045540000003,353382.9551745806
matmul,linear,"[(2432, 2176), (2176, 2560)]",950266,matmul_linear_121,262.59858040000006,361770.1969190081
matmul,linear,"[(2560, 2176), (2176, 2560)]",1000280,matmul_linear_122,225.8942947,442708.88161802705
matmul,linear,"[(2688, 2176), (2176, 2560)]",1043800,matmul_linear_123,235.17387499999995,443741.81703856355
matmul,linear,"[(2816, 2176), (2176, 2560)]",1087320,matmul_linear_124,244.0769823,445382.4005745666
matmul,linear,"[(2944, 2176), (2176, 2560)]",1130840,matmul_linear_125,362.64626770000007,311730.03955123835
matmul,linear,"[(3072, 2176), (2176, 2560)]",1174360,matmul_linear_126,375.501875,312644.1107983815
matmul,linear,"[(2048, 2176), (2176, 2688)]",835040,matmul_linear_127,232.90803560000003,358427.7759304583
matmul,linear,"[(2176, 2176), (2176, 2688)]",887230,matmul_linear_128,279.0478393,317849.0664488367
matmul,linear,"[(2304, 2176), (2176, 2688)]",939420,matmul_linear_129,285.58086590000005,328850.6098524648
matmul,linear,"[(2432, 2176), (2176, 2688)]",991610,matmul_linear_130,292.3752413000001,339056.62475077016
matmul,linear,"[(2560, 2176), (2176, 2688)]",1043800,matmul_linear_131,298.8662766,349153.18837394717
matmul,linear,"[(2688, 2176), (2176, 2688)]",1095990,matmul_linear_132,350.91416969999995,312224.2361335745
matmul,linear,"[(2816, 2176), (2176, 2688)]",1141686,matmul_linear_133,362.3489641,314979.1400316853
matmul,linear,"[(2944, 2176), (2176, 2688)]",1187382,matmul_linear_134,374.6425624,316837.29414872266
matmul,linear,"[(3072, 2176), (2176, 2688)]",1233078,matmul_linear_135,385.9083039,319426.1639976335
matmul,linear,"[(2048, 2176), (2176, 2816)]",869856,matmul_linear_136,209.1655358,415769.6587719592
matmul,linear,"[(2176, 2176), (2176, 2816)]",924222,matmul_linear_137,217.1189644,425575.3907029965
matmul,linear,"[(2304, 2176), (2176, 2816)]",978588,matmul_linear_138,226.87500889999995,431233.536798376
matmul,linear,"[(2432, 2176), (2176, 2816)]",1032954,matmul_linear_139,234.5888481,440225.27904296404
matmul,linear,"[(2560, 2176), (2176, 2816)]",1087320,matmul_linear_140,244.62315159999997,444387.7734949435
matmul,linear,"[(2688, 2176), (2176, 2816)]",1141686,matmul_linear_141,252.3995711,452232.78132143384
matmul,linear,"[(2816, 2176), (2176, 2816)]",1196052,matmul_linear_142,362.491402,329853.2053452678
matmul,linear,"[(2944, 2176), (2176, 2816)]",1243924,matmul_linear_143,374.803143,331787.29156414786
matmul,linear,"[(3072, 2176), (2176, 2816)]",1291796,matmul_linear_144,386.0613838,334508.9648451392
