Operation_Type,Operation,Input_Shapes,Predicted_Latency_us,Kernel_Name,Actual_Duration_us,Error_Percentage
matmul,linear,"[(1280, 1152), (1152, 1152)]",134622,matmul_linear_93,72.31577690000002,186058.5476515844
matmul,linear,"[(1408, 1152), (1152, 1152)]",144990,matmul_linear_94,78.88472320000001,183699.846305349
matmul,linear,"[(1536, 1152), (1152, 1152)]",155358,matmul_linear_95,85.38199110000002,181856.40321627492
matmul,linear,"[(1664, 1152), (1152, 1152)]",165726,matmul_linear_96,50.0854554,330786.47927118576
matmul,linear,"[(1792, 1152), (1152, 1152)]",176094,matmul_linear_97,52.2535893,336898.85952140705
matmul,linear,"[(1920, 1152), (1152, 1152)]",186462,matmul_linear_98,54.613856899999995,341318.84602916596
matmul,linear,"[(2048, 1152), (1152, 1152)]",196830,matmul_linear_99,61.663875000000004,319098.23397410556
matmul,linear,"[(1024, 1152), (1152, 1280)]",119664,matmul_linear_100,41.737133899999996,286608.7143230983
matmul,linear,"[(1152, 1152), (1152, 1280)]",134622,matmul_linear_101,44.2048573,304441.19348554034
matmul,linear,"[(1280, 1152), (1152, 1280)]",149580,matmul_linear_102,72.63058019999998,205846.31020171865
matmul,linear,"[(1408, 1152), (1152, 1280)]",161100,matmul_linear_103,79.15056240000001,203436.14063518008
matmul,linear,"[(1536, 1152), (1152, 1280)]",172620,matmul_linear_104,85.662,201412.92288295858
matmul,linear,"[(1664, 1152), (1152, 1280)]",184140,matmul_linear_105,50.7022768,363078.9568866067
matmul,linear,"[(1792, 1152), (1152, 1280)]",195660,matmul_linear_106,52.79956249999999,370471.25236596423
matmul,linear,"[(1920, 1152), (1152, 1280)]",207180,matmul_linear_107,55.1962589,375251.52586219937
matmul,linear,"[(2048, 1152), (1152, 1280)]",218700,matmul_linear_108,62.20541959999999,351477.083486147
matmul,linear,"[(1024, 1152), (1152, 1408)]",128880,matmul_linear_109,40.9498573,314626.3714640588
matmul,linear,"[(1152, 1152), (1152, 1408)]",144990,matmul_linear_110,53.8134285,269330.8912133335
matmul,linear,"[(1280, 1152), (1152, 1408)]",161100,matmul_linear_111,56.1687144,286714.46908815135
matmul,linear,"[(1408, 1152), (1152, 1408)]",177210,matmul_linear_112,65.105143,272090.47810093896
matmul,linear,"[(1536, 1152), (1152, 1408)]",189882,matmul_linear_113,69.7459821,272147.9407168603
matmul,linear,"[(1664, 1152), (1152, 1408)]",202554,matmul_linear_114,74.20604469999999,272861.59068831225
matmul,linear,"[(1792, 1152), (1152, 1408)]",215226,matmul_linear_115,78.80500900000001,273012.08098459826
matmul,linear,"[(1920, 1152), (1152, 1408)]",227898,matmul_linear_116,83.32240180000001,273413.47906056157
matmul,linear,"[(2048, 1152), (1152, 1408)]",240570,matmul_linear_117,87.9841341,273324.2968471744
matmul,linear,"[(1024, 1152), (1152, 1536)]",138096,matmul_linear_118,48.041411,287352.0067697429
matmul,linear,"[(1152, 1152), (1152, 1536)]",155358,matmul_linear_119,50.7442767,306058.6647859344
matmul,linear,"[(1280, 1152), (1152, 1536)]",172620,matmul_linear_120,53.317526699999995,323658.45370936906
matmul,linear,"[(1408, 1152), (1152, 1536)]",189882,matmul_linear_121,56.1145984,338282.53398245835
matmul,linear,"[(1536, 1152), (1152, 1536)]",207144,matmul_linear_122,69.9141251,296183.47591236606
matmul,linear,"[(1664, 1152), (1152, 1536)]",220968,matmul_linear_123,74.3655894,297037.4284569309
matmul,linear,"[(1792, 1152), (1152, 1536)]",234792,matmul_linear_124,78.9844373,297163.62309604
matmul,linear,"[(1920, 1152), (1152, 1536)]",248616,matmul_linear_125,83.5247145,297555.6118608463
matmul,linear,"[(2048, 1152), (1152, 1536)]",262440,matmul_linear_126,88.16516060000001,297568.60085547215
matmul,linear,"[(1024, 1152), (1152, 1664)]",147312,matmul_linear_127,47.557857000000006,309653.2338347373
matmul,linear,"[(1152, 1152), (1152, 1664)]",165726,matmul_linear_128,62.635857,264486.46522550174
matmul,linear,"[(1280, 1152), (1152, 1664)]",184140,matmul_linear_129,65.093991,282783.25415474985
matmul,linear,"[(1408, 1152), (1152, 1664)]",202554,matmul_linear_130,80.24129450000001,252331.1219829585
