kernel_name,dim_m,dim_n,dim_k,fusion_avg,fusion_min,fusion_max,fusion_stddev
matmul_2048x4096x2048,2048,4096,2048,326.6234286,326.488571,326.762858,0.08951349917340774
matmul_2048x4096x2560,2048,4096,2560,344.8945803,344.662857,345.048482,0.13297497685075022
matmul_2048x4096x3072,2048,4096,3072,407.7684377,407.472947,407.897054,0.11922130399486187
matmul_2048x4096x3584,2048,4096,3584,470.72830369999997,470.554375,470.985714,0.17243315042779084
matmul_2048x4096x4096,2048,4096,4096,529.5592767,529.421339,529.777143,0.1381613734048829
matmul_2560x1024x1024,2560,1024,1024,70.1295267,70.048572,70.428571,0.1368162687548948
matmul_2560x1024x1536,2560,1024,1536,93.0404553,92.857143,93.208661,0.1312513852397189
matmul_2560x1024x2048,2560,1024,2048,127.2239821,127.027232,127.451428,0.15327706163781687
matmul_2560x1024x2560,2560,1024,2560,104.9747323,104.831518,105.288572,0.17940870762284633
matmul_2560x1024x3072,2560,1024,3072,122.3347053,122.078572,122.461429,0.11979575023630139
matmul_2560x1024x3584,2560,1024,3584,139.6532678,139.474285,139.937053,0.17710998476137704
matmul_2560x1024x4096,2560,1024,4096,156.8994464,156.657143,157.055625,0.13168670875241867
matmul_2560x1536x1024,2560,1536,1024,85.01075,84.845803,85.2,0.12910279207411818
matmul_2560x1536x1536,2560,1536,1536,118.1067321,117.887143,118.334375,0.14929312757156554
matmul_2560x1536x2048,2560,1536,2048,151.0544198,150.8,151.197143,0.13463690854359905
matmul_2560x1536x2560,2560,1536,2560,171.7284287,171.528571,171.88009,0.1310273252264974
matmul_2560x1536x3072,2560,1536,3072,202.372152,202.265715,202.569911,0.12179783917440536
matmul_2560x1536x3584,2560,1536,3584,229.5924377,229.418661,229.825625,0.15959999445074935
matmul_2560x1536x4096,2560,1536,4096,216.140732,215.997143,216.334375,0.14441135345025038
matmul_2560x2048x1024,2560,2048,1024,101.0936876,100.915715,101.347053,0.12212921037000116
matmul_2560x2048x1536,2560,2048,1536,139.0583037,138.854286,139.154286,0.10941304221572942
matmul_2560x2048x2048,2560,2048,2048,168.9292679,168.715714,169.128572,0.1267980285953029
matmul_2560x2048x2560,2560,2048,2560,205.4234553,205.245715,205.765625,0.16620618779031557
matmul_2560x2048x3072,2560,2048,3072,239.7879822,239.591428,240.101429,0.19977925435829627
matmul_2560x2048x3584,2560,2048,3584,274.2694284,274.091517,274.524375,0.1665361418085859
matmul_2560x2048x4096,2560,2048,4096,308.5798123,308.394196,308.741339,0.12613789098534803
matmul_2560x2560x1024,2560,2560,1024,117.54758939999999,117.314286,117.741428,0.1368536884967133
matmul_2560x2560x1536,2560,2560,1536,173.1470268,173.041428,173.272858,0.06282805628026582
matmul_2560x2560x2048,2560,2560,2048,218.4258839,218.16866,218.537232,0.12128129382138367
matmul_2560x2560x2560,2560,2560,2560,245.5172857,245.4,245.627143,0.09088300591548007
matmul_2560x2560x3072,2560,2560,3072,287.4705533,287.255803,287.762857,0.19282651582131563
matmul_2560x2560x3584,2560,2560,3584,320.6597322,320.397143,320.805714,0.15563068191272605
matmul_2560x2560x4096,2560,2560,4096,401.3401072,401.072768,401.484286,0.14545295060512045
matmul_2560x3072x1024,2560,3072,1024,140.417,140.065625,140.60009,0.16310707563982646
matmul_2560x3072x1536,2560,3072,1536,217.0765713,216.84,217.182857,0.10114244329772394
matmul_2560x3072x2048,2560,3072,2048,293.8498659,293.787143,293.924375,0.041457547621232264
matmul_2560x3072x2560,2560,3072,2560,324.7444464,324.657143,324.802946,0.045455892990899444
matmul_2560x3072x3072,2560,3072,3072,355.9635624,355.794196,356.074286,0.09838307532994199
matmul_2560x3072x3584,2560,3072,3584,410.0045889,409.827053,410.145803,0.1447768972188692
matmul_2560x3072x4096,2560,3072,4096,461.0114823,460.792946,461.168572,0.1291308535763045
matmul_2560x3584x1024,2560,3584,1024,164.9901252,164.799911,165.131429,0.12558168137714598
matmul_2560x3584x1536,2560,3584,1536,259.1945535,258.984285,259.301339,0.09672865243814566
matmul_2560x3584x2048,2560,3584,2048,300.8598572,300.675804,300.94,0.08153515461687924
matmul_2560x3584x2560,2560,3584,2560,364.3307409,364.227053,364.447232,0.06292048039734063
matmul_2560x3584x3072,2560,3584,3072,427.733857,427.52134,427.998571,0.16468429255194045
matmul_2560x3584x3584,2560,3584,3584,494.82501790000003,494.581429,494.982946,0.15242489036786966
matmul_2560x3584x4096,2560,3584,4096,554.7377142,554.547233,554.902857,0.11674353344243532
matmul_2560x4096x1024,2560,4096,1024,185.3138394,185.097232,185.448571,0.1224597527600193
matmul_2560x4096x1536,2560,4096,1536,287.8302766,287.732857,287.912768,0.061888070771530905
matmul_2560x4096x2048,2560,4096,2048,332.9365805,332.777142,333.114286,0.08960834217148328
matmul_2560x4096x2560,2560,4096,2560,466.290134,466.052768,466.432768,0.1329359436236522
matmul_2560x4096x3072,2560,4096,3072,472.7921429,472.595625,473.031429,0.15386276103105292
matmul_2560x4096x3584,2560,4096,3584,545.0234465999999,544.718572,545.248572,0.1826744447146909
matmul_2560x4096x4096,2560,4096,4096,612.7415713,612.538482,612.915625,0.13068211753378867
matmul_3072x1024x1024,3072,1024,1024,81.1371341,81.068483,81.41,0.1076446378986061
matmul_3072x1024x1536,3072,1024,1536,113.9997321,113.908571,114.222857,0.13995819975538026
matmul_3072x1024x2048,3072,1024,2048,147.0345537,146.845625,147.21,0.11697507486929742
matmul_3072x1024x2560,3072,1024,2560,129.5235624,129.275714,129.667054,0.1435831971863943
matmul_3072x1024x3072,3072,1024,3072,141.6848661,141.505714,141.862857,0.13299726521536084
matmul_3072x1024x3584,3072,1024,3584,161.7666963,161.589911,161.968482,0.14290852882412683
matmul_3072x1024x4096,3072,1024,4096,195.6445712,195.474286,195.765804,0.10129477783270402
matmul_3072x1536x1024,3072,1536,1024,97.5284643,97.384375,97.744375,0.14521229465628852
matmul_3072x1536x1536,3072,1536,1536,135.1841609,134.9,135.368571,0.13503035015420412
matmul_3072x1536x2048,3072,1536,2048,183.4383035,183.202857,183.517143,0.09140604684501817
matmul_3072x1536x2560,3072,1536,2560,213.4561252,213.272857,213.69,0.17233299902469343
matmul_3072x1536x3072,3072,1536,3072,206.9298751,206.682946,207.082857,0.1415132662854129
matmul_3072x1536x3584,3072,1536,3584,228.2296876,228.077053,228.327143,0.09781466061462847
matmul_3072x1536x4096,3072,1536,4096,249.9424195,249.768571,250.214285,0.19258669409630672
matmul_3072x2048x1024,3072,2048,1024,115.9303929,115.789911,116.15,0.1257111466607732
matmul_3072x2048x1536,3072,2048,1536,169.7234287,169.478482,169.852858,0.13191179927347815
matmul_3072x2048x2048,3072,2048,2048,209.9654197,209.75866,210.197054,0.17940056064018575
matmul_3072x2048x2560,3072,2048,2560,253.7269731,253.451429,253.814196,0.10927775897068871
